번호,회계구분,부서명,세부사업명,통계목,지급일자,사업개요,지출액
74,일반회계,가정복지과,기본경비(가정복지과),사무관리비,2022-12-23,가정복지과 신문구독료 납부(12월),"              20,000"
75,일반회계,가정복지과,기본경비(가정복지과),사무관리비,2022-12-23,여성정책팀 기본업무수행 특근매식비 지급(12월),"             320,000"
76,일반회계,가정복지과,다문화가족 및 거주외국인 지원,시책추진업무추진비,2022-12-23,다문화가족 및 거주외국인 사업 관련 업무추진비 지급,"             129,000"
77,일반회계,가정복지과,보조금 집행잔액 반납(가정복지과),국고보조금반환금,2022-12-23,2021년 기후변화 취약계층 지원사업 집행잔액 및 발생이자 반납 - 국비 반납,"          15,650,400"
78,일반회계,가정복지과,보조금 집행잔액 반납(가정복지과),국고보조금반환금,2022-12-23,2021년 기후변화 취약계층 지원사업 집행잔액 및 발생이자 반납 - 국비 이자,"           1,215,010"
79,일반회계,가정복지과,보조금 집행잔액 반납(가정복지과),국고보조금반환금,2022-12-23,2021년 어린이집 종사자 보수교육 국시비 보조금 반납 - 국비,"           1,554,000"
80,일반회계,가정복지과,보조금 집행잔액 반납(가정복지과),시ㆍ도비보조금반환금,2022-12-23,2021년 기후변화 취약계층 지원사업 집행잔액 및 발생이자 반납 - 시비 반납,"           9,390,240"
81,일반회계,가정복지과,보조금 집행잔액 반납(가정복지과),시ㆍ도비보조금반환금,2022-12-23,2021년 기후변화 취약계층 지원사업 집행잔액 및 발생이자 반납 - 시비 이자,"             728,980"
82,일반회계,가정복지과,보조금 집행잔액 반납(가정복지과),시ㆍ도비보조금반환금,2022-12-23,2021년 어린이집 종사자 보수교육 국시비 보조금 반납 - 시비,"           2,538,200"
83,일반회계,가정복지과,시간제보육서비스 제공지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 보육료 예탁금 입금(시간차등형보육료),"           3,000,000"
84,일반회계,가정복지과,보육교직원 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 보육교직원 인건비(법인),"          60,394,840"
85,일반회계,가정복지과,보육교직원 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 야간연장 인건비 및 수당 30:49:21,"          15,595,000"
86,일반회계,가정복지과,보육교직원 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-야간연장 인건비 및 수당,"          16,697,000"
87,일반회계,가정복지과,보육교직원 인건비 지원,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간1~3,법인,방과후) 교직원 복리후생비 처우개선비 등 지급 - 장애특수교사수당 30:49:21","           3,950,000"
88,일반회계,가정복지과,보육교직원 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립 교사대아동비율 개선 시범사업 보육교사 인건비 지급,"          12,041,220"
89,일반회계,가정복지과,보육교직원 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 보육교직원 인건비 지급,"       1,093,070,420"
90,일반회계,가정복지과,보육교직원 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 시비지원 조리사 인건비 지급,"           2,002,700"
91,일반회계,가정복지과,보육교직원 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 특수교사 자격수당 지급,"           5,700,000"
92,일반회계,가정복지과,보육교직원 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 미승인구립어린이집 인건비 지급,"         168,978,110"
93,일반회계,가정복지과,영유아보육료 지원(만0~2세),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 유아학비시간연장보육료 45:38.5:16.5,"              89,600"
94,일반회계,가정복지과,영유아보육료 지원(만0~2세),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-유아학비 시간연장 보육료,"             518,400"
95,일반회계,가정복지과,영유아보육료 지원(만0~2세),사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 시간연장 보육료 지급,"             304,000"
96,일반회계,가정복지과,영유아보육료 지원(만0~2세),사회복지시설법정운영비보조,2022-12-23,2022년도 12월 보육료 예탁금 입금(만0~2세 영아보육료),"         906,900,000"
97,일반회계,가정복지과,어린이집 교원 보수교육,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 보육교사 교육비 30:49:21,"             640,000"
98,일반회계,가정복지과,어린이집 교원 보수교육,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-보육교사 교육비,"             380,000"
99,일반회계,가정복지과,어린이집 교원 보수교육,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 보육교사 교육비 지급,"           1,160,000"
100,일반회계,가정복지과,가정양육수당 지원사업,사회보장적수혜금,2022-12-23,2022년 12월 가정양육수당 지급,"         231,650,000"
101,일반회계,가정복지과,가정양육수당 지원사업,사회보장적수혜금,2022-12-23,2022년 12월 장애아동 가정양육수당 지급,"             900,000"
102,일반회계,가정복지과,구립어린이집 확충,민간자본사업보조(이전재원),2022-12-23,대림늘푸른 어린이집 리모델링 및 기자재비 교부,"         200,000,000"
103,일반회계,가정복지과,영유아보육료 지원(만3~5세 누리과정),사회복지시설법정운영비보조,2022-12-23,2022년도 12월 보육료 예탁금 입금(누리과정 보육료),"         270,000,000"
104,일반회계,가정복지과,방과후 보육료,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 보육료 예탁금 입금(방과후 보육료),"           3,000,000"
105,일반회계,가정복지과,만3~5세 담임수당,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 누리과정운영비 시비100,"          29,254,820"
106,일반회계,가정복지과,만3~5세 담임수당,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-누리과정운영비,"          25,919,750"
107,일반회계,가정복지과,만3~5세 담임수당,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간1~3,법인,방과후) 교직원 복리후생비 처우개선비 등 지급- 누리담임 처우개선비  전액시비","          18,980,000"
108,일반회계,가정복지과,만3~5세 담임수당,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간4~6지구,가정,직장) 교직원 복리후생비 처우개선비 등 지급-누리담임 처우개선비","          15,120,000"
109,일반회계,가정복지과,만3~5세 담임수당,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 누리과정 담임수당 지급,"          37,080,000"
110,일반회계,가정복지과,만3~5세 담임수당,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 누리과정 운영비 지급,"          63,330,720"
111,일반회계,가정복지과,보육교직원 처우개선 지원(보조교사 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 국비지원보조교사 30:49:21,"           7,568,540"
112,일반회계,가정복지과,보육교직원 처우개선 지원(보조교사 등),사회복지시설법정운영비보조,2022-12-23,"2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 시비보조교사(2시간추가포함) , 보육도우미 5:5","          34,102,500"
113,일반회계,가정복지과,보육교직원 처우개선 지원(보조교사 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 -국비지원연장전담교사,"          22,705,620"
114,일반회계,가정복지과,보육교직원 처우개선 지원(보조교사 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-국비지원 보조교사,"          46,876,110"
115,일반회계,가정복지과,보육교직원 처우개선 지원(보조교사 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-국비지원 연장보육전담교사,"          57,130,260"
116,일반회계,가정복지과,보육교직원 처우개선 지원(보조교사 등),사회복지시설법정운영비보조,2022-12-23,"2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-시비보조교사(2시간추가지원 포함), 보육도우미","          96,011,770"
117,일반회계,가정복지과,보육교직원 처우개선 지원(보조교사 등),사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 국비지원 보조교사 인건비 지급,"          58,530,040"
118,일반회계,가정복지과,보육교직원 처우개선 지원(보조교사 등),사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 시비지원 보조교사 및 보육도우미 인건비 지급,"          25,489,550"
119,일반회계,가정복지과,보육교직원 처우개선 지원(보조교사 등),사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 연장보육전담교사 인건비 지급,"          60,548,320"
120,일반회계,가정복지과,여성친화도시 조성,시설비,2022-12-23,용두문화복지센터 보수공사-준공금지급,"          24,211,000"
121,일반회계,가정복지과,여성친화도시 조성,시설비,2022-12-23,용두문화복지센터 북카페 개선공사-준공금지급,"          28,700,100"
122,일반회계,가정복지과,아동수당,사회보장적수혜금,2022-12-23,2022년 12월 아동수당 지급,"       1,401,100,000"
123,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 거점형시간연장차액분(교사) 5:5,"             746,080"
124,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 거점형야간어린이집운영비 5:5,"           1,200,000"
125,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 다문화운영비 5:5,"             300,000"
126,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 모아어린이집연합회운영비(협회운영비) 시비100,"             200,000"
127,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급- 40. 거점형 시간연장 차액분(교사),"             737,480"
128,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급- 41. 거점형야간어린이집운영비,"           1,800,000"
129,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급- 46. 거점형교사차액분보험료부담금+거점형야간연장보육료,"             281,000"
130,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-다문화운영비(2020.5~),"             300,000"
131,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-서울형 인건비운영비+서울형2시간추가지원교사인건비포함,"          33,336,010"
132,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간1~3,법인,방과후) 교직원 복리후생비 처우개선비 등 지급 - 서울형모아어린이집장,교사수당  전액시비","             350,000"
133,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립 서울형공유어린이집 수당 지급,"             650,000"
134,일반회계,가정복지과,특화보육 지원,사회복지시설법정운영비보조,2022-12-23,"2022년도 12월 구립어린이집 특화보육 운영비,인건비 지급","           5,865,200"
135,일반회계,가정복지과,대체교사 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급- 서울형 전임교사 인건비,"           4,036,800"
136,일반회계,가정복지과,대체교사 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립 서울형전임교사 시범사업 인건비 지급,"           8,073,600"
137,일반회계,가정복지과,대체교사 인건비 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립 서울형전임교사(장애통합) 시범사업 인건비 지급,"           2,018,400"
138,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 영아급식비 추가 시5:구5,"           1,759,400"
139,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 유아급식비 추가 시5:구5,"           5,109,160"
140,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 현장학습비 시비100,"              83,000"
141,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 -영아반운영비 5:5,"          27,650,000"
142,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-(영아)급간식비 추가지원,"           5,339,000"
143,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-(유아)급간식비 추가지원,"           5,178,740"
144,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-영아반운영비,"          74,850,000"
145,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 영아 급간식비 추가지원,"           7,022,400"
146,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 유아 급간식비 추가지원,"          12,842,480"
147,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-23,2022년도 12월 보육료 예탁금 입금(차액보육료),"         207,000,000"
148,일반회계,가정복지과,보육교직원 처우개선 지원(처우개선 지원 등),사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 보수교육중식비5:5,"             120,000"
