번호,회계구분,부서명,세부사업명,통계목,지급일자,사업개요,지출액
16,일반회계,가족정책과,아동권리 모니터단 운영,기타보상금,2022-12-27,아동권리모니터단 단원 활동비 지급,"             750,000"
17,일반회계,가족정책과,동물보호사업 추진,사무관리비,2022-12-26,동물 보호 관련 현수막 제작 비용 지급,"             275,000"
18,일반회계,가족정책과,출산지원 사업 추진,사회보장적수혜금,2022-12-26,11월 다자녀출산용품교환권 대금 지급,"             450,000"
19,일반회계,가족정책과,출산지원 사업 추진,사회보장적수혜금,2022-12-26,11월 출산용품교환권 구입비용 지급,"             750,000"
20,일반회계,가족정책과,기본경비,사무관리비,2022-12-26,2022년 12월 1인가구지원팀 급량비 지급,"             104,000"
21,일반회계,가족정책과,기본경비,사무관리비,2022-12-26,사무실 재배치 환경 정비 비용 지급,"             300,000"
22,일반회계,가족정책과,기본경비,사무관리비,2022-12-26,우편봉투 구매비용 지급,"             154,000"
23,일반회계,가족정책과,기본경비,부서운영업무추진비,2022-12-26,직원 격려 음료비 지급,"              30,000"
24,일반회계,가족정책과,결식아동급식지원,사회보장적수혜금,2022-12-26,2022년 12월 결식아동급식 도시락배달비 지급,"           3,424,000"
25,일반회계,가족정책과,결식아동급식지원,사회보장적수혜금,2022-12-26,2022년 겨울방학 대비 결식아동급식비(꿈나무카드결제금) 지급,"         144,000,000"
26,일반회계,가족정책과,임산부 및 영유아가정 아이맘택시 추진,시책추진업무추진비,2022-12-26,임산부 및 영유아가정을 위한 아이맘택시 간담회비 지급,"              22,000"
27,일반회계,가족정책과,아동학대조사 추진,사무관리비,2022-12-26,2022. 제8차 은평형 아동학대 판단회의 참석수당 지급,"             100,000"
28,일반회계,가족정책과,아동학대예방사업 추진,사무관리비,2022-12-26,아동학대 예방 홍보물품 구입비 지급,"           1,668,150"
29,일반회계,가족정책과,아동학대예방사업 추진,사무관리비,2022-12-26,아동학대 예방 홍보물품 구입비 지급,"             836,030"
30,일반회계,가족정책과,보호대상아동 지원,행사운영비,2022-12-26,(가칭)은평청년자립지원센터 운영 용역 시행,"           3,799,620"
31,일반회계,가족정책과,보호대상아동 지원,사회복지사업보조,2022-12-26,2022. 아동양육시설 직업체험 프로그램 운영비 교부,"          10,000,000"
32,일반회계,가족정책과,청소년부모 아동양육비 지원 시범사업,사회보장적수혜금,2022-12-26,2022년 9월 청소년부모 아동양육비(시범사업) 급여 환수금 반납,"            -300,000"
33,일반회계,가족정책과,기본경비,사무관리비,2022-12-23,2022. 12월 아동친화팀 급량비 지급,"             416,000"
34,일반회계,가족정책과,기본경비,사무관리비,2022-12-23,2022. 12월분 가족정책팀 급량비 지급,"             464,000"
35,일반회계,가족정책과,기본경비,사무관리비,2022-12-23,2022. 12월분 여성정책팀 급량비 지급,"             648,000"
36,일반회계,가족정책과,기본경비,사무관리비,2022-12-23,부서 운영물품 구입비용 지급(복사용지),"             930,000"
37,일반회계,가족정책과,기본경비,국내여비,2022-12-23,2022년 12월분 직원 국내여비 지급,"           1,770,000"
38,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-23,2020년 가정폭력피해자 지원사업 집행잔액 및 이자발생액 반납 (국비),"           2,818,310"
39,일반회계,가족정책과,임산부 및 영유아가정 아이맘택시 추진,민간위탁금,2022-12-23,아이맘택시 12월 택시운행서비스 정산금 지급,"           6,966,000"
40,일반회계,가족정책과,우리동네키움센터(다함께돌봄) 운영 지원,사무관리비,2022-12-23,2022. 12월 우리동네키움센터 임차료 지급,"           7,770,000"
41,일반회계,가족정책과,우리동네키움센터(다함께돌봄) 운영 지원,사무관리비,2022-12-23,2022년 우리동네키움센터 운영점검 회계사 수당 지급,"             500,000"
42,일반회계,가족정책과,우리동네키움센터(다함께돌봄) 운영 지원,사무관리비,2022-12-23,온마을돌봄 홍보물 제작비 지급,"           1,692,000"
43,일반회계,가족정책과,아동학대조사 추진,사무관리비,2022-12-23,2022. 12월 아동학대긴급전화 운영관련 당직수당 지급,"           1,860,000"
44,일반회계,가족정책과,아동학대조사 추진,시책추진업무추진비,2022-12-23,2022. 12월 아동학대대응정보연계협의체 간담회비 지급,"              58,500"
45,일반회계,가족정책과,아동학대조사 추진,시책추진업무추진비,2022-12-23,2022. 12월 아동학대대응정보연계협의체 회의 비용 지급,"              57,000"
46,일반회계,가족정책과,아동학대예방사업 추진,사무관리비,2022-12-23,아동학대 예방 홍보물품 구입비 지급,"             377,300"
47,일반회계,가족정책과,아동권리 모니터단 운영,사무관리비,2022-12-23,아동권리 모니터단 우수단원 표창장 구입비 지급,"              42,000"
48,일반회계,가족정책과,동물보호사업 추진,시책추진업무추진비,2022-12-22,동물보호 업무 추진 관련 다과비 지급,"              50,000"
49,일반회계,가족정책과,동물보호사업 추진,시책추진업무추진비,2022-12-22,동물보호사업 추진 관련 간담회비 지급,"              73,000"
50,일반회계,가족정책과,동물보호사업 추진,시책추진업무추진비,2022-12-22,동물보호사업 추진 관련 차담회비 지급,"              20,000"
51,일반회계,가족정책과,기관공통경비의 효율적 지원,시책추진업무추진비,2022-12-22,1인가구지원센터 운영 관련 간담회비 지급,"               5,800"
52,일반회계,가족정책과,다문화가족 지원,시책추진업무추진비,2022-12-22,다문화가족지원사업 추진관련 간담회비 지급,"             124,000"
53,일반회계,가족정책과,기본경비,사무관리비,2022-12-22,2022. 12월 반려동물팀 급량비 지급,"             496,000"
54,일반회계,가족정책과,기본경비,사무관리비,2022-12-22,2022. 12월 아동보호팀 급량비 지급,"           1,416,000"
55,일반회계,가족정책과,기본경비,사무관리비,2022-12-22,부서 사무용품 구입비 지급,"             900,000"
56,일반회계,가족정책과,기본경비,사무관리비,2022-12-22,컬러 프린터 드럼 구입비용 지급,"             374,000"
57,일반회계,가족정책과,여성안전지원사업,사무관리비,2022-12-22,안심귀가스카우트 및 안심이 CCTV 관제센터 운영을 위한 비품 구입비용 지급,"             308,000"
58,일반회계,가족정책과,여성친화도시 조성,시책추진업무추진비,2022-12-22,여성친화도시 조성 사업추진 관계자 간담회비 지급,"              44,000"
59,일반회계,가족정책과,아동건전육성,사무관리비,2022-12-22,아동위원협의회 회의 개최 관련 비품 구입비 지급,"              22,000"
60,일반회계,가족정책과,아동건전육성,사무관리비,2022-12-22,은평구 아동위원협의회 운영관련 사무용품 구입비 지급,"             350,000"
61,일반회계,가족정책과,아동건전육성,시책추진업무추진비,2022-12-22,2022년 1대1 양육멘토링 상담위원 간담회비 지급,"             150,000"
62,일반회계,가족정책과,아동건전육성,시책추진업무추진비,2022-12-22,아동위원협의회 운영관련 의견수렴 간담회비 지급,"             230,000"
63,일반회계,가족정책과,아동건전육성,시책추진업무추진비,2022-12-22,아동위원협의회 하반기 정기회의 관련 간담회비 지급,"             220,000"
64,일반회계,가족정책과,아동건전육성,시책추진업무추진비,2022-12-22,아동위원협의회 하반기 정기회의 관련 꽃다발 구입비 지급,"             100,000"
65,일반회계,가족정책과,아동건전육성,시책추진업무추진비,2022-12-22,아동위원협의회 하반기 정기회의 관련 음료구입비 지급,"             100,000"
66,일반회계,가족정책과,지역아동센터 및 신나는 애프터 지원,사무관리비,2022-12-22,2022. 지역아동센터 아동 돌봄 유공자 표창액자 제작비 지급,"             241,000"
67,일반회계,가족정책과,지역아동센터 및 신나는 애프터 지원,시책추진업무추진비,2022-12-22,지역아동센터 3권역 정기회의 관련 간담회 지급,"             155,000"
68,일반회계,가족정책과,여성능력개발 및 취업지원,시책추진업무추진비,2022-12-22,여성 취·창업지원 프로그램 운영 간담회비 지급,"              79,000"
69,일반회계,가족정책과,임산부 및 영유아가정 아이맘택시 추진,시책추진업무추진비,2022-12-22,임산부 및 영유아가정을 위한 아이맘택시 간담회비 지급,"             185,000"
70,일반회계,가족정책과,아동권리 아카데미 운영,시책추진업무추진비,2022-12-22,2022년 학교로 찾아가는 아동권리 교육 결과보고회 개최 업무추진비 지출,"             250,000"
71,일반회계,가족정책과,아동권리 아카데미 운영,시책추진업무추진비,2022-12-22,2022년 학교로 찾아가는 아동권리 교육 결과보고회 개최 업무추진비 지출,"             150,000"
72,일반회계,가족정책과,우리동네키움센터(다함께돌봄) 운영 지원,사무관리비,2022-12-22,온마을돌봄협의회 위촉장 제작비 지급,"              21,000"
73,일반회계,가족정책과,아동학대조사 추진,사무관리비,2022-12-22,아동보호팀 공용차량 임차조달(2022년),"             930,000"
74,일반회계,가족정책과,아동학대조사 추진,공공운영비,2022-12-22,2022. 12월 아동학대조사 업무용 이동전화 사용료(11월분) 지급,"             159,830"
75,일반회계,가족정책과,아동학대조사 추진,공공운영비,2022-12-22,아동보호팀 차량 유류비 지급,"              42,730"
76,일반회계,가족정책과,아동학대조사 추진,공공운영비,2022-12-22,아동학대 조사업무용 차량 정비비용 지급,"             390,500"
77,일반회계,가족정책과,아동학대조사 추진,공공운영비,2022-12-22,아동학대 조사업무용 차량용품 구입비용 지급,"             400,000"
78,일반회계,가족정책과,아동학대조사 추진,시책추진업무추진비,2022-12-22,아동학대 조사대상자 면담 소요비용 지급,"               6,500"
79,일반회계,가족정책과,아동학대조사 추진,시책추진업무추진비,2022-12-22,학대피해아동 조사 관련 소요비용 지급,"              50,000"
80,일반회계,가족정책과,아동학대조사 추진,시책추진업무추진비,2022-12-22,학대피해아동 조사 관련 소요비용 지급,"              50,000"
81,일반회계,가족정책과,아동학대예방사업 추진,사무관리비,2022-12-22,아동학대 전담의료기관 지정 홍보현판 구입비 지급,"             165,000"
82,일반회계,가족정책과,보호대상아동 지원,사무관리비,2022-12-22,2022. 동절기 아동복지시설 안전점검(건축) 수수료 지급,"             781,000"
83,일반회계,가족정책과,보호대상아동 지원,사무관리비,2022-12-22,2022. 동절기 아동복지시설 안전점검(전기·가스) 수수료 지급,"             531,960"
84,일반회계,가족정책과,보호대상아동 지원,공공운영비,2022-12-22,'22. 12월 아동보호조치 업무용 이동전화 사용료(11월분) 지급,"             200,100"
85,일반회계,가족정책과,보호대상아동 지원,공공운영비,2022-12-22,2022. 12월 은평자준청 관리비(11월분) 지급,"             105,980"
86,일반회계,가족정책과,보호대상아동 지원,공공운영비,2022-12-22,2022. 12월 은평자준청 무인경비시스템비 지급,"              77,000"
87,일반회계,가족정책과,보호대상아동 지원,공공운영비,2022-12-22,2022. 12월 은평자준청 인터넷사용료(11월분) 지급,"              28,850"
88,일반회계,가족정책과,보호대상아동 지원,사회보장적수혜금,2022-12-22,보호대상아동 심리검사비 지급,"             440,000"
89,일반회계,가족정책과,보호대상아동 지원,기타보상금,2022-12-22,2022. 12월 아동복지시설 인권보호관 활동수당 지급,"             250,000"
90,일반회계,가족정책과,성숙한 반려문화 조성,시책추진업무추진비,2022-12-22,성숙한 반려문화 조성사업 관련 간담회비 지급,"              60,000"
91,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,사무관리비,2022-12-22,동물보호 업무용 행정차량 임차(조달구매),"             471,780"
92,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,사무관리비,2022-12-22,야생견 없는 안전한 은평 만들기 사업 관련 사무용품 구입비 지급,"             430,000"
93,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,공공운영비,2022-12-22,반려동물팀 차량 유류비 지급,"              36,740"
94,일반회계,가족정책과,아동권리 모니터단 운영,사무관리비,2022-12-22,아동권리 모니터단 결과보고회 추진 사무용품 구입비 지급,"             300,000"
95,일반회계,가족정책과,아동권리 모니터단 운영,행사운영비,2022-12-22,아동권리 모니터단 결과보고회 추진 행사용품 구입비 지급,"              90,000"
96,일반회계,가족정책과,아동권리 모니터단 운영,행사운영비,2022-12-22,아동권리 모니터단 결과보고회 추진 현수막 구입비 지급,"              44,000"
97,일반회계,가족정책과,아동권리 모니터단 운영,시책추진업무추진비,2022-12-22,아동권리 모니터단 결과보고회 추진 관련 간담회비 지급,"             469,800"
98,일반회계,가족정책과,불법촬영 시민감시단 운영,사무관리비,2022-12-22,2022년 12월 불법촬영 시민감시단 활동비 지급,"             600,000"
99,일반회계,가족정책과,아동건전육성,시책추진업무추진비,2022-12-21,아동위원협의회 정기회의 관련 다과비 지급,"             175,000"
100,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),국고보조금반환금,2022-12-21,2021년 우리동네키움센터사업 집행잔액 및 발생이자 반납(국비),"          10,523,050"
101,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-21,2021년 우리동네키움센터 집행잔액 및 발생이자 반납(시비),"          97,261,430"
102,일반회계,가족정책과,온마을 아동돌봄,행사운영비,2022-12-21,2022년 온마을 아동돌봄사업 용역 시행,"           3,800,000"
103,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-20,2021년도 한부모가족 자격변동에 따른 교육비 환수금 반납,"           1,109,250"
104,일반회계,가족정책과,아동학대예방사업 추진,사무관리비,2022-12-20,은평형 자립준비주택 추진을 위한 업무협약서 제작비 지급(수정),"              44,000"
105,일반회계,가족정책과,보호대상아동 지원,사회보장적수혜금,2022-12-20,2022. 보호대상아동 연말위문금 지급,"           4,524,000"
106,일반회계,가족정책과,취약계층 반려동물 의료비 지원,민간경상사업보조,2022-12-20,2022년 11월 우리동네 동물병원 지원금 지급(새은평동물의료센터),"           2,720,000"
107,일반회계,가족정책과,청소년부모 아동양육비 지원 시범사업,사회보장적수혜금,2022-12-20,2022년 12월 청소년부모 아동양육비(시범사업) 급여 지급,"             800,000"
108,일반회계,가족정책과,동물보호사업 추진,기타보상금,2022-12-19,2022년 12월분 공수의 업무수당 지급,"             315,000"
109,일반회계,가족정책과,길고양이 중성화 사업 추진,민간위탁금,2022-12-19,2022년 11월 길고양이 중성화 사업 민간위탁비용 지급,"          18,000,000"
110,일반회계,가족정책과,임산부 및 영유아가정 아이맘택시 추진,민간위탁금,2022-12-19,2022년 아이맘택시 사업추진 용역,"          26,856,000"
111,일반회계,가족정책과,보호대상아동 지원,사무관리비,2022-12-19,보호대상아동 아동보호서비스 홍보물품 구입비 지급,"             680,860"
112,일반회계,가족정책과,보호대상아동 지원,사회보장적수혜금,2022-12-19,보호대상아동 심리검사비 지급,"             450,000"
113,일반회계,가족정책과,보호대상아동 지원,기타자본이전,2022-12-19,은평형 자립준비주택 임대차계약 보증금 지급,"          17,181,000"
114,일반회계,가족정책과,취약계층 반려동물 의료비 지원,민간경상사업보조,2022-12-19,2022년 11월 우리동네 동물병원 지원금 지급(로얄동물병원),"           2,248,000"
115,일반회계,가족정책과,아이돌봄지원사업 운영,민간위탁금,2022-12-16,2022년 4분기(2차) 아이돌봄지원사업 국고보조금 지급,"         138,040,000"
116,일반회계,가족정책과,주민대상 폭력예방 교육운영,시책추진업무추진비,2022-12-16,주민대상 폭력예방교육 운영 간담회비 지급,"              52,500"
117,일반회계,가족정책과,임산부 및 영유아가정 아이맘택시 추진,사무관리비,2022-12-16,2022년 아이맘택시 모바일어플리케이션 활용용역,"          10,500,000"
118,일반회계,가족정책과,아동학대조사 추진,시책추진업무추진비,2022-12-16,아동학대 조사대상자 면담 소요비용 지급,"              15,200"
119,일반회계,가족정책과,성숙한 반려문화 조성,행사운영비,2022-12-16,성숙한 반려동물 문화 조성을 위한 은평구 반려동물 문화교실 용역 계약,"          21,850,000"
120,양성평등기금,가족정책과,여성의 사회참여 확대,연구용역비,2022-12-16,은평구 여성친화도시 조성 중장기계획 수립 연구용역 발주,"          14,552,440"
121,일반회계,가족정책과,동물보호사업 추진,시책추진업무추진비,2022-12-15,동물보호 업무 추진 관련 다과비 지급,"              27,050"
122,일반회계,가족정책과,동물보호사업 추진,시책추진업무추진비,2022-12-15,동물보호사업 추진 관련 간담회비 지급,"              42,000"
123,일반회계,가족정책과,건강가정지원센터 운영,시설비,2022-12-15,은평구가족센터 현판 제작 구매,"           9,636,070"
124,일반회계,가족정책과,아동건전육성,사무관리비,2022-12-15,제23회 은평구 온택트 어린이 동요대회 상패 제작비 지급,"           2,310,000"
125,일반회계,가족정책과,아동친화도시 조성,행사실비지원금,2022-12-15,2022년 학교로 찾아가는 아동권리교육 강사료 지급(보조강사),"           5,760,000"
126,일반회계,가족정책과,아동친화도시 조성,행사실비지원금,2022-12-15,2022년 학교로 찾아가는 아동권리교육 강사료 지급(주강사),"           5,850,000"
127,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-15,2020년 안심지킴이집 운영보조금 집행잔액 반납,"           1,923,000"
128,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-15,2020년 폭력피해 이주여성 지원사업 집행잔액 및 이자발생액 반납,"              43,810"
129,일반회계,가족정책과,우리동네키움센터(다함께돌봄) 설치,시설비,2022-12-15,우리동네키움센터 소규모 환경개선 공사비용 지출,"           2,990,000"
130,일반회계,가족정책과,다문화가족 지원,시책추진업무추진비,2022-12-14,가족센터(다문화가족지원) 운영 지원 간담회비 지급,"             117,000"
131,일반회계,가족정책과,기본경비,부서운영업무추진비,2022-12-14,직원 격려 다과비 지급,"             136,800"
132,일반회계,가족정책과,아동건전육성,행사운영비,2022-12-14,제23회 은평구 온택트 어린이 동요대회 행사용역,"           7,500,000"
133,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),국고보조금반환금,2022-12-14,2021년 결식아동급식 코로나19 한시지원사업 국고보조금 집행잔액 반납(수정),"         220,527,600"
134,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-14,2016년~ 2020년 성폭력피해자 지원사업 집행잔액 및 이자발생액 반납,"           5,195,260"
135,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-14,2016년~2019년 가정폭력피해자 지원사업 집행잔액 및 이자발생액 반납,"         100,705,890"
136,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-14,2020년 가정폭력피해자 지원사업 집행잔액 및 이자발생액 반납 (시비),"          57,185,920"
137,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-14,2021년 결식아동급식 코로나19 한시지원사업 시비보조금 집행잔액 반납,"          18,384,500"
138,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-14,2021년 안심지킴이집 운영보조금 집행잔액 반납,"             735,000"
139,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-14,과년도 폭력피해 이주여성 지원사업 집행잔액 및 이자발생액 반납(시비),"           4,472,840"
140,일반회계,가족정책과,동물보호사업 추진,시책추진업무추진비,2022-12-13,동물보호사업 추진 관련 간담회비 지급,"              36,000"
141,일반회계,가족정책과,동물보호사업 추진,민간위탁금,2022-12-13,2022년 11월 유기동물 보호관리 민간위탁비용 지급,"           2,894,000"
142,일반회계,가족정책과,기본경비,부서운영업무추진비,2022-12-13,현안업무 추진 직원 노고 격려 간담회비 지급,"             140,000"
143,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,공공운영비,2022-12-13,2022년 11월분 동물보호 업무용 이동전화 사용료 지급,"              77,750"
144,일반회계,가족정책과,불법촬영 시민감시단 운영,사무관리비,2022-12-13,2022년 불법촬영 시민감시단 활동용품 구입비 지급,"              21,470"
145,일반회계,가족정책과,동물보호사업 추진,시책추진업무추진비,2022-12-09,동물보호 업무 추진 관련 다과비 지급,"              35,050"
146,일반회계,가족정책과,양성평등 및 성인지력향상 교육 운영,사무관리비,2022-12-09,2022년 10~11월 한국양성평등교육진흥원 성인지정책교육 교육비 지급,"           2,655,000"
147,일반회계,가족정책과,기본경비,사무관리비,2022-12-09,2022. 11월 아동친화팀 급량비 지급,"             416,000"
148,일반회계,가족정책과,기본경비,사무관리비,2022-12-09,제로페이 결제취소건 반납을 위한 지급,"             -80,000"
149,일반회계,가족정책과,기본경비,부서운영업무추진비,2022-12-09,업무추진 직원 격려 소요비용 지급,"              77,500"
150,일반회계,가족정책과,기본경비,부서운영업무추진비,2022-12-09,현안업무 추진 직원 격려 간단회비 지급,"              92,500"
151,일반회계,가족정책과,아동건전육성,사무관리비,2022-12-09,제23회 은평구 온택트 어린이 동요대회 상장 제작비 지급,"             640,000"
152,일반회계,가족정책과,주민대상 폭력예방 교육운영,행사운영비,2022-12-09,2022. 은평구 주민대상 폭력예방교육(11월) 수료증 제작비 지급,"              21,000"
153,일반회계,가족정책과,임산부 및 영유아가정 아이맘택시 추진,시책추진업무추진비,2022-12-09,임산부 및 영유아가정을 위한 아이맘택시 간담회비 지급,"             169,000"
154,일반회계,가족정책과,보호대상아동 지원,기타보상금,2022-12-09,2022. 11월 아동복지시설 인권보호관 활동수당 지급,"             250,000"
155,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,사무관리비,2022-12-09,야생견 없는 안전한 은평 만들기 사업 관련 소모품 구매대금 지급,"           1,410,750"
156,일반회계,가족정책과,아동학대조사 추진,사무관리비,2022-12-08,2022. 11월 아동학대긴급전화 운영관련 당직수당 지급,"           1,800,000"
157,일반회계,가족정책과,동물보호사업 추진,기타보상금,2022-12-07,2022년 11월분 공수의 업무수당 지급,"             315,000"
158,일반회계,가족정책과,기본경비,사무관리비,2022-12-07,제로페이 결제취소건 반납을 위한 지급,"             -80,000"
159,일반회계,가족정책과,여성친화도시 조성,시책추진업무추진비,2022-12-07,여성친화도시 조성 사업추진 관계자 간담회비 지급,"              93,000"
160,일반회계,가족정책과,지역아동센터 및 신나는 애프터 지원,사회복지시설법정운영비보조,2022-12-07,2022년 은평구지역아동센터연합 성과 보고회 사업비 지급,"           6,000,000"
161,일반회계,가족정책과,결식아동급식지원,사회보장적수혜금,2022-12-07,2022년 11월 결식아동급식 도시락배달비 지급,"           3,312,000"
162,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-07,2021년 서울형 아동학대 판단회의 이자액 반납,"              94,530"
163,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-07,2021년 서울형 아동학대 판단회의 집행잔액 반납,"           6,059,360"
164,일반회계,가족정책과,우리동네키움센터(다함께돌봄) 설치,시설비,2022-12-07,우리동네키움센터 소규모 환경개선공사 시행,"          10,880,100"
165,일반회계,가족정책과,보호대상아동 지원,사회보장적수혜금,2022-12-07,보호대상아동 심리검사비 지급,"             670,000"
166,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,사무관리비,2022-12-07,야생견 없는 안전한 은평 만들기 사업 운영 관련 사무용품 구입비 지급,"             500,000"
167,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,공공운영비,2022-12-07,반려동물팀 차량 유류비 지급,"              53,680"
168,일반회계,가족정책과,다문화가족 지원,시책추진업무추진비,2022-12-06,가정통신문 번역 사업 추진관련 간담회비 지급,"             116,000"
169,일반회계,가족정책과,기본경비,사무관리비,2022-12-06,2022. 11월 가족정책팀 급량비 지급,"             480,000"
170,일반회계,가족정책과,기본경비,사무관리비,2022-12-06,2022. 11월 반려동물팀 급량비 지급,"             488,000"
171,일반회계,가족정책과,기본경비,사무관리비,2022-12-06,2022. 11월 아동보호팀 급량비 지급,"           1,432,000"
172,일반회계,가족정책과,주민대상 폭력예방 교육운영,행사운영비,2022-12-06,2022. 은평구 주민대상 폭력예방교육(11월) 강사료 지급,"           1,400,000"
173,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),국고보조금반환금,2022-12-06,2020-2021년 아동학대 상담조사시설 한시지원사업 이자액 반납,"              72,960"
174,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),국고보조금반환금,2022-12-06,2020-2021년 아동학대 상담조사시설 한시지원사업 집행잔액 반납,"           4,677,020"
175,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,기간제근로자등보수,2022-12-06,2022년 11월 동물보호 현장출동반 기간제근로자 급여 및 보험료 지급,"           4,961,320"
176,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,사무관리비,2022-12-06,유기견 구조 관련 물품 구입비 지급,"             107,200"
177,일반회계,가족정책과,동물보호사업 추진,시책추진업무추진비,2022-12-05,동물보호사업 추진 관련 간담회비 지급,"              50,000"
178,일반회계,가족정책과,건강가정지원센터 운영,민간위탁금,2022-12-05,2022년 4분기 가족센터(건강가정지원) 보조금 교부(2차),"          15,688,000"
179,일반회계,가족정책과,기본경비,사무관리비,2022-12-05,2022. 11월분 여성정책팀 급량비 지급,"             704,000"
180,일반회계,가족정책과,기본경비,사무관리비,2022-12-05,2022년 11월분 1인가구지원팀 급량비 지급,"              80,000"
181,일반회계,가족정책과,기본경비,사무관리비,2022-12-05,제로페이 결제취소건 반납을 위한 지급,"              40,000"
182,일반회계,가족정책과,기본경비,사무관리비,2022-12-05,제로페이 결제취소건 반납을 위한 지급,"              40,000"
183,일반회계,가족정책과,기본경비,국내여비,2022-12-05,"2022년 11월분 아동복지교사 인건비(국,시비 재배정 및 구비) 지급","              60,000"
184,일반회계,가족정책과,여성안전지원사업,기간제근로자등보수,2022-12-05,2022년 11월 안심이(CCTV 야간관제) 기간제근로자 급여 및 보험료 지출,"           4,813,370"
